"Population by disability type","Number"
"Blind/low vision",""
"Female","379"
"Male","401"
"","780"
"Deaf/hard of hearing",""
"Female","265"
"Male","284"
"","549"
"Deaf-Blind",""
"Female","48"
"Male","51"
"","99"
"Intellectual disable",""
"Female","57"
"Male","74"
"","131"
"Mental disable",""
"Female","143"
"Male","225"
"","368"
"Multiple disable",""
"Female","123"
"Male","167"
"","290"
"No disability",""
"Female","168647"
"Male","154908"
"","323555"
"Physical",""
"Female","687"
"Male","1012"
"","1699"
"Speech problem",""
"Female","282"
"Male","332"
"","614"
