"Population by Educational Attainment","Number"
"Beginners",""
"Female","5456"
"Male","6626"
"","12082"
"Graduate and Equivalent",""
"Female","1006"
"Male","2038"
"","3044"
"Intermediate and Equivalent",""
"Female","3952"
"Male","5545"
"","9497"
"Level not Stated",""
"Female","304"
"Male","276"
"","580"
"Lower Secondary (Class 6-8)",""
"Female","20333"
"Male","25139"
"","45472"
"Non Formal Education",""
"Female","2655"
"Male","1833"
"","4488"
"Others",""
"Female","52"
"Male","54"
"","106"
"Post Graduate Equivalent and Above",""
"Female","172"
"Male","696"
"","868"
"Primary Education (1-5 Class)",""
"Female","39930"
"Male","47013"
"","86943"
"Secondary Level (Class 9-10)",""
"Female","11200"
"Male","14391"
"","25591"
"SLC and Equivalent",""
"Female","5942"
"Male","7879"
"","13821"
