"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","48"
"","107"
"Deaf/hard of hearing",""
"Female","84"
"Male","98"
"","182"
"Deaf-Blind",""
"Female","5"
"Male","9"
"","14"
"Intellectual disable",""
"Female","13"
"Male","13"
"","26"
"Mental disable",""
"Female","21"
"Male","37"
"","58"
"Multiple disable",""
"Female","27"
"Male","29"
"","56"
"No disability",""
"Female","16216"
"Male","13090"
"","29306"
"Physical",""
"Female","204"
"Male","248"
"","452"
"Speech problem",""
"Female","43"
"Male","48"
"","91"
