"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","62"
"","127"
"Deaf/hard of hearing",""
"Female","65"
"Male","42"
"","107"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","5"
"Male","16"
"","21"
"Multiple disable",""
"Female","27"
"Male","19"
"","46"
"No disability",""
"Female","6823"
"Male","6252"
"","13075"
"Physical",""
"Female","73"
"Male","89"
"","162"
"Speech problem",""
"Female","24"
"Male","18"
"","42"
