"Population by disability type","Number"
"Blind/low vision",""
"Female","678"
"Male","666"
"","1344"
"Deaf/hard of hearing",""
"Female","507"
"Male","613"
"","1120"
"Deaf-Blind",""
"Female","49"
"Male","44"
"","93"
"Intellectual disable",""
"Female","42"
"Male","47"
"","89"
"Mental disable",""
"Female","92"
"Male","93"
"","185"
"Multiple disable",""
"Female","164"
"Male","159"
"","323"
"No disability",""
"Female","82603"
"Male","80658"
"","163261"
"Physical",""
"Female","1397"
"Male","1777"
"","3174"
"Speech problem",""
"Female","210"
"Male","307"
"","517"
