"Population by Single Year of Age","Number"
"0",""
"Female","256"
"Male","171"
"1",""
"Female","156"
"Male","148"
"10",""
"Female","395"
"Male","414"
"11",""
"Female","279"
"Male","201"
"12",""
"Female","332"
"Male","341"
"13",""
"Female","211"
"Male","219"
"14",""
"Female","226"
"Male","252"
"15",""
"Female","243"
"Male","266"
"16",""
"Female","233"
"Male","258"
"17",""
"Female","145"
"Male","208"
"18",""
"Female","238"
"Male","324"
"19",""
"Female","104"
"Male","145"
"2",""
"Female","232"
"Male","225"
"20",""
"Female","295"
"Male","397"
"21",""
"Female","93"
"Male","122"
"22",""
"Female","213"
"Male","233"
"23",""
"Female","137"
"Male","133"
"24",""
"Female","139"
"Male","148"
"25",""
"Female","425"
"Male","346"
"26",""
"Female","129"
"Male","123"
"27",""
"Female","115"
"Male","104"
"28",""
"Female","230"
"Male","199"
"29",""
"Female","54"
"Male","87"
"3",""
"Female","247"
"Male","258"
"30",""
"Female","448"
"Male","410"
"31",""
"Female","29"
"Male","57"
"32",""
"Female","142"
"Male","181"
"33",""
"Female","75"
"Male","70"
"34",""
"Female","60"
"Male","50"
"35",""
"Female","397"
"Male","483"
"36",""
"Female","69"
"Male","99"
"37",""
"Female","51"
"Male","55"
"38",""
"Female","93"
"Male","129"
"39",""
"Female","35"
"Male","39"
"4",""
"Female","220"
"Male","232"
"40",""
"Female","323"
"Male","384"
"41",""
"Female","23"
"Male","35"
"42",""
"Female","80"
"Male","112"
"43",""
"Female","43"
"Male","38"
"44",""
"Female","28"
"Male","42"
"45",""
"Female","322"
"Male","288"
"46",""
"Female","26"
"Male","55"
"47",""
"Female","26"
"Male","58"
"48",""
"Female","86"
"Male","66"
"49",""
"Female","23"
"Male","37"
"5",""
"Female","295"
"Male","307"
"50",""
"Female","240"
"Male","308"
"51",""
"Female","13"
"Male","20"
"52",""
"Female","38"
"Male","71"
"53",""
"Female","28"
"Male","34"
"54",""
"Female","25"
"Male","20"
"55",""
"Female","163"
"Male","200"
"56",""
"Female","18"
"Male","33"
"57",""
"Female","27"
"Male","18"
"58",""
"Female","37"
"Male","47"
"59",""
"Female","16"
"Male","26"
"6",""
"Female","242"
"Male","223"
"60",""
"Female","181"
"Male","205"
"61",""
"Female","18"
"Male","22"
"62",""
"Female","36"
"Male","31"
"63",""
"Female","25"
"Male","10"
"64",""
"Female","22"
"Male","15"
"65",""
"Female","138"
"Male","119"
"66",""
"Female","26"
"Male","20"
"67",""
"Female","8"
"Male","17"
"68",""
"Female","16"
"Male","38"
"69",""
"Female","9"
"Male","12"
"7",""
"Female","244"
"Male","203"
"70",""
"Female","92"
"Male","116"
"71",""
"Female","5"
"Male","6"
"72",""
"Female","11"
"Male","15"
"73",""
"Female","2"
"Male","12"
"74",""
"Female","4"
"Male","5"
"75",""
"Female","45"
"Male","38"
"76",""
"Female","0"
"Male","8"
"77",""
"Female","3"
"Male","6"
"78",""
"Female","64"
"Male","8"
"79",""
"Female","1"
"Male","4"
"8",""
"Female","321"
"Male","423"
"80",""
"Female","25"
"Male","23"
"81",""
"Female","6"
"Male","4"
"82",""
"Female","2"
"Male","2"
"83",""
"Female","2"
"Male","0"
"84",""
"Female","2"
"Male","2"
"85",""
"Female","32"
"Male","44"
"9",""
"Female","173"
"Male","192"
