"Employed Population by Occupation","Number"
"Clerical support workers",""
"Female","11000"
"Male","17000"
"Craft and Related Trade Workers",""
"Female","44000"
"Male","188000"
"Elementary Occupation",""
"Female","114000"
"Male","175000"
"Managers",""
"Female","2000"
"Male","10000"
"Not elsewhere classified",""
"Female","0"
"Male","5000"
"Plant and Machines Operaters and Assemblers",""
"Female","4000"
"Male","71000"
"Professionals",""
"Female","28000"
"Male","56000"
"Service and Sales Workers",""
"Female","145000"
"Male","141000"
"Skilled agricultural, forestry and fishery workers",""
"Female","85000"
"Male","72000"
"Technician and Associate Professional",""
"Female","10000"
"Male","31000"
