"Industries Employment","Number"
"Accommodation,  food",""
"Female","28810"
"Male","25855"
"Administrative, support service",""
"Female","563"
"Male","2700"
"Agriculture, forestry and  fishing",""
"Female","8290"
"Male","12119"
"Arts, entertainment, recreation",""
"Female","306"
"Male","1461"
"Construction",""
"Female","291"
"Male","2583"
"Education",""
"Female","38351"
"Male","52000"
"Electricity, gas and water",""
"Female","381"
"Male","2908"
"Financial intermediation and insurance",""
"Female","11257"
"Male","14216"
"Health, social work",""
"Female","16210"
"Male","11442"
"Information and communication",""
"Female","968"
"Male","2799"
"Manufacturing",""
"Female","28162"
"Male","73117"
"Other service activities",""
"Female","12534"
"Male","19787"
"Professional, scientific, techniqual activity",""
"Female","595"
"Male","2547"
"Real estate, renting and business activity",""
"Female","30"
"Male","179"
"Transportation,  storage",""
"Female","614"
"Male","2701"
"Water supply, wet management",""
"Female","409"
"Male","1332"
"Wholesale, retail trade",""
"Female","72224"
"Male","95530"
