"Population by Educational Attainment","Number"
"Beginners",""
"Female","279"
"Male","300"
"","579"
"Graduate and Equivalent",""
"Female","19"
"Male","64"
"","83"
"Intermediate and Equivalent",""
"Female","111"
"Male","142"
"","253"
"Level not Stated",""
"Female","6"
"Male","1"
"","7"
"Lower Secondary (Class 6-8)",""
"Female","1232"
"Male","1326"
"","2558"
"Non Formal Education",""
"Female","537"
"Male","458"
"","995"
"Others",""
"Female","3"
"Male","3"
"","6"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","14"
"","22"
"Primary Education (1-5 Class)",""
"Female","2194"
"Male","2408"
"","4602"
"Secondary Level (Class 9-10)",""
"Female","759"
"Male","781"
"","1540"
"SLC and Equivalent",""
"Female","617"
"Male","538"
"","1155"
