"Population by disability type","Number"
"Blind/low vision",""
"Female","119"
"Male","121"
"","240"
"Deaf/hard of hearing",""
"Female","22"
"Male","27"
"","49"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","9"
"Male","11"
"","20"
"Mental disable",""
"Female","18"
"Male","23"
"","41"
"Multiple disable",""
"Female","23"
"Male","36"
"","59"
"No disability",""
"Female","25229"
"Male","26429"
"","51658"
"Physical",""
"Female","78"
"Male","142"
"","220"
"Speech problem",""
"Female","17"
"Male","28"
"","45"
