"Population by Educational Attainment","Number"
"Beginners",""
"Female","381"
"Male","454"
"","835"
"Graduate and Equivalent",""
"Female","73"
"Male","356"
"","429"
"Intermediate and Equivalent",""
"Female","264"
"Male","855"
"","1119"
"Level not Stated",""
"Female","56"
"Male","85"
"","141"
"Lower Secondary (Class 6-8)",""
"Female","1596"
"Male","2981"
"","4577"
"Non Formal Education",""
"Female","23"
"Male","65"
"","88"
"Others",""
"Female","19"
"Male","22"
"","41"
"Post Graduate Equivalent and Above",""
"Female","17"
"Male","66"
"","83"
"Primary Education (1-5 Class)",""
"Female","4940"
"Male","6694"
"","11634"
"Secondary Level (Class 9-10)",""
"Female","553"
"Male","1709"
"","2262"
"SLC and Equivalent",""
"Female","448"
"Male","1250"
"","1698"
