"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","108"
"","179"
"Deaf/hard of hearing",""
"Female","95"
"Male","106"
"","201"
"Deaf-Blind",""
"Female","13"
"Male","10"
"","23"
"Intellectual disable",""
"Female","14"
"Male","18"
"","32"
"Mental disable",""
"Female","51"
"Male","54"
"","105"
"Multiple disable",""
"Female","54"
"Male","55"
"","109"
"No disability",""
"Female","27559"
"Male","24255"
"","51814"
"Physical",""
"Female","175"
"Male","256"
"","431"
"Speech problem",""
"Female","65"
"Male","74"
"","139"
