"Population by disability type","Number"
"Blind/low vision",""
"Female","109"
"Male","100"
"","209"
"Deaf/hard of hearing",""
"Female","65"
"Male","64"
"","129"
"Deaf-Blind",""
"Female","6"
"Male","10"
"","16"
"Intellectual disable",""
"Female","9"
"Male","3"
"","12"
"Mental disable",""
"Female","26"
"Male","26"
"","52"
"Multiple disable",""
"Female","35"
"Male","42"
"","77"
"No disability",""
"Female","21824"
"Male","18623"
"","40447"
"Physical",""
"Female","147"
"Male","228"
"","375"
"Speech problem",""
"Female","41"
"Male","49"
"","90"
