"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","67"
"","138"
"Deaf/hard of hearing",""
"Female","58"
"Male","63"
"","121"
"Deaf-Blind",""
"Female","8"
"Male","5"
"","13"
"Intellectual disable",""
"Female","10"
"Male","11"
"","21"
"Mental disable",""
"Female","14"
"Male","18"
"","32"
"Multiple disable",""
"Female","37"
"Male","54"
"","91"
"No disability",""
"Female","24266"
"Male","20238"
"","44504"
"Physical",""
"Female","157"
"Male","241"
"","398"
"Speech problem",""
"Female","45"
"Male","53"
"","98"
