"Population by Educational Attainment","Number"
"Beginners",""
"Female","6301"
"Male","7144"
"","13445"
"Graduate and Equivalent",""
"Female","701"
"Male","1782"
"","2483"
"Intermediate and Equivalent",""
"Female","3556"
"Male","5188"
"","8744"
"Level not Stated",""
"Female","140"
"Male","129"
"","269"
"Lower Secondary (Class 6-8)",""
"Female","29435"
"Male","32222"
"","61657"
"Non Formal Education",""
"Female","8486"
"Male","5007"
"","13493"
"Others",""
"Female","69"
"Male","142"
"","211"
"Post Graduate Equivalent and Above",""
"Female","87"
"Male","528"
"","615"
"Primary Education (1-5 Class)",""
"Female","51379"
"Male","59302"
"","110681"
"Secondary Level (Class 9-10)",""
"Female","11850"
"Male","14655"
"","26505"
"SLC and Equivalent",""
"Female","8612"
"Male","10992"
"","19604"
