"Population by disability type","Number"
"Blind/low vision",""
"Female","983"
"Male","887"
"","1870"
"Deaf/hard of hearing",""
"Female","647"
"Male","660"
"","1307"
"Deaf-Blind",""
"Female","86"
"Male","88"
"","174"
"Intellectual disable",""
"Female","98"
"Male","117"
"","215"
"Mental disable",""
"Female","224"
"Male","279"
"","503"
"Multiple disable",""
"Female","261"
"Male","289"
"","550"
"No disability",""
"Female","217489"
"Male","197969"
"","415458"
"Physical",""
"Female","1132"
"Male","1563"
"","2695"
"Speech problem",""
"Female","371"
"Male","468"
"","839"
