"Population by disability type","Number"
"Blind/low vision",""
"Female","87"
"Male","75"
"","162"
"Deaf/hard of hearing",""
"Female","75"
"Male","89"
"","164"
"Deaf-Blind",""
"Female","10"
"Male","10"
"","20"
"Intellectual disable",""
"Female","12"
"Male","9"
"","21"
"Mental disable",""
"Female","37"
"Male","53"
"","90"
"Multiple disable",""
"Female","34"
"Male","42"
"","76"
"No disability",""
"Female","32873"
"Male","27576"
"","60449"
"Physical",""
"Female","151"
"Male","216"
"","367"
"Speech problem",""
"Female","56"
"Male","67"
"","123"
