"Industries Employment","Number"
"Accommodation,  food",""
"Female","455"
"Male","484"
"Administrative, support service",""
"Female","0"
"Male","0"
"Agriculture, forestry and  fishing",""
"Female","24"
"Male","86"
"Arts, entertainment, recreation",""
"Female","10"
"Male","19"
"Construction",""
"Female","0"
"Male","0"
"Education",""
"Female","89"
"Male","158"
"Electricity, gas and water",""
"Female","4"
"Male","33"
"Financial intermediation and insurance",""
"Female","13"
"Male","37"
"Health, social work",""
"Female","50"
"Male","45"
"Information and communication",""
"Female","0"
"Male","5"
"Manufacturing",""
"Female","5"
"Male","10"
"Other service activities",""
"Female","12"
"Male","29"
"Professional, scientific, techniqual activity",""
"Female","0"
"Male","0"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","7"
"Male","13"
"Water supply, wet management",""
"Female","3"
"Male","5"
"Wholesale, retail trade",""
"Female","44"
"Male","55"
