"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","6"
"Male","8"
"","14"
"Badi",""
"Female","26"
"Male","28"
"","54"
"Bangali",""
"Female","592"
"Male","593"
"","1185"
"Bantaba",""
"Female","25"
"Male","20"
"","45"
"Baraee",""
"Female","32"
"Male","31"
"","63"
"Brahman - Hill",""
"Female","7447"
"Male","6300"
"","13747"
"Brahman - Tarai",""
"Female","263"
"Male","289"
"","552"
"Chamar/ Harijan/ Ram",""
"Female","80"
"Male","69"
"","149"
"Chamling",""
"Female","26"
"Male","25"
"","51"
"Chhetri",""
"Female","3836"
"Male","3226"
"","7062"
"Dalit Others",""
"Female","53"
"Male","37"
"","90"
"Damai/Dholi",""
"Female","373"
"Male","313"
"","686"
"Danuwar",""
"Female","12"
"Male","14"
"","26"
"Dhanuk",""
"Female","44"
"Male","50"
"","94"
"Dhimal",""
"Female","36"
"Male","41"
"","77"
"Dhobi",""
"Female","24"
"Male","28"
"","52"
"Dhunia",""
"Female","19"
"Male","11"
"","30"
"Dom",""
"Female","19"
"Male","15"
"","34"
"Dusadh/ Pasawan/ Pasi",""
"Female","44"
"Male","42"
"","86"
"Gangai",""
"Female","317"
"Male","304"
"","621"
"Ghale",""
"Female","9"
"Male","10"
"","19"
"Gharti/Bhujel",""
"Female","335"
"Male","259"
"","594"
"Gurung",""
"Female","547"
"Male","441"
"","988"
"Hajam/Thakur",""
"Female","128"
"Male","136"
"","264"
"Halwai",""
"Female","85"
"Male","82"
"","167"
"Janajati Others",""
"Female","23"
"Male","23"
"","46"
"Jhangad/ Dhagar",""
"Female","90"
"Male","89"
"","179"
"Kalwar",""
"Female","81"
"Male","82"
"","163"
"Kami",""
"Female","699"
"Male","647"
"","1346"
"Kanu",""
"Female","41"
"Male","46"
"","87"
"Kathabaniyan",""
"Female","61"
"Male","71"
"","132"
"Kayastha",""
"Female","98"
"Male","103"
"","201"
"Kewat",""
"Female","231"
"Male","238"
"","469"
"Khaling",""
"Female","17"
"Male","13"
"","30"
"Khawas",""
"Female","28"
"Male","21"
"","49"
"Koiri/Kushwaha",""
"Female","49"
"Male","49"
"","98"
"Kumal",""
"Female","21"
"Male","18"
"","39"
"Kumhar",""
"Female","9"
"Male","9"
"","18"
"Kurmi",""
"Female","197"
"Male","196"
"","393"
"Limbu",""
"Female","3050"
"Male","2456"
"","5506"
"Lohar",""
"Female","7"
"Male","4"
"","11"
"Magar",""
"Female","909"
"Male","755"
"","1664"
"Majhi",""
"Female","447"
"Male","442"
"","889"
"Mali",""
"Female","41"
"Male","35"
"","76"
"Mallaha",""
"Female","268"
"Male","278"
"","546"
"Marwadi",""
"Female","314"
"Male","361"
"","675"
"Meche",""
"Female","81"
"Male","66"
"","147"
"Munda",""
"Female","12"
"Male","16"
"","28"
"Musahar",""
"Female","102"
"Male","100"
"","202"
"Musalman",""
"Female","597"
"Male","577"
"","1174"
"Newar",""
"Female","1209"
"Male","1053"
"","2262"
"Nuniya",""
"Female","20"
"Male","20"
"","40"
"Others",""
"Female","44"
"Male","37"
"","81"
"Pattharkatta/ Kushwadiya",""
"Female","14"
"Male","22"
"","36"
"Punjabi/Sikh",""
"Female","22"
"Male","24"
"","46"
"Rai",""
"Female","1755"
"Male","1520"
"","3275"
"Rajbansi",""
"Female","4893"
"Male","4733"
"","9626"
"Rajput",""
"Female","56"
"Male","56"
"","112"
"Sanyasi/Dasnami",""
"Female","509"
"Male","425"
"","934"
"Sarki",""
"Female","124"
"Male","116"
"","240"
"Satar/ Santhal",""
"Female","1501"
"Male","1429"
"","2930"
"Sherpa",""
"Female","52"
"Male","38"
"","90"
"Sonar",""
"Female","79"
"Male","101"
"","180"
"Sudhi",""
"Female","29"
"Male","28"
"","57"
"Sunuwar",""
"Female","102"
"Male","87"
"","189"
"Tajpuriya",""
"Female","9"
"Male","12"
"","21"
"Tamang",""
"Female","1235"
"Male","1071"
"","2306"
"Tatma/Tatwa",""
"Female","44"
"Male","47"
"","91"
"Teli",""
"Female","134"
"Male","151"
"","285"
"Terai Others",""
"Female","194"
"Male","233"
"","427"
"Thakuri",""
"Female","34"
"Male","32"
"","66"
"Thami",""
"Female","51"
"Male","35"
"","86"
"Tharu",""
"Female","197"
"Male","204"
"","401"
"Thulung",""
"Female","10"
"Male","9"
"","19"
"Undefined Others",""
"Female","68"
"Male","72"
"","140"
"Yadav",""
"Female","310"
"Male","311"
"","621"
"Yakkha",""
"Female","15"
"Male","10"
"","25"
"Yamphu",""
"Female","14"
"Male","15"
"","29"
