"Population by disability type","Number"
"Blind/low vision",""
"Female","110"
"Male","95"
"","205"
"Deaf/hard of hearing",""
"Female","93"
"Male","110"
"","203"
"Deaf-Blind",""
"Female","1"
"Male","10"
"","11"
"Intellectual disable",""
"Female","18"
"Male","20"
"","38"
"Mental disable",""
"Female","50"
"Male","61"
"","111"
"Multiple disable",""
"Female","33"
"Male","55"
"","88"
"No disability",""
"Female","33996"
"Male","30208"
"","64204"
"Physical",""
"Female","201"
"Male","321"
"","522"
"Speech problem",""
"Female","73"
"Male","78"
"","151"
