"Population by Educational Attainment","Number"
"Beginners",""
"Female","366"
"Male","402"
"Graduate and Equivalent",""
"Female","231"
"Male","428"
"Intermediate and Equivalent",""
"Female","538"
"Male","746"
"Level not Stated",""
"Female","12"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","2119"
"Male","2224"
"Non Formal Education",""
"Female","356"
"Male","214"
"Others",""
"Female","1"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","29"
"Male","122"
"Primary Education (1-5 Class)",""
"Female","4395"
"Male","4597"
"Secondary Level (Class 9-10)",""
"Female","1147"
"Male","1252"
"SLC and Equivalent",""
"Female","1112"
"Male","1227"
