"Population by Educational Attainment","Number"
"Beginners",""
"Female","629"
"Male","762"
"","1391"
"Graduate and Equivalent",""
"Female","127"
"Male","342"
"","469"
"Intermediate and Equivalent",""
"Female","491"
"Male","803"
"","1294"
"Level not Stated",""
"Female","56"
"Male","69"
"","125"
"Lower Secondary (Class 6-8)",""
"Female","3280"
"Male","3565"
"","6845"
"Non Formal Education",""
"Female","465"
"Male","361"
"","826"
"Others",""
"Female","9"
"Male","14"
"","23"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","79"
"","90"
"Primary Education (1-5 Class)",""
"Female","6046"
"Male","6599"
"","12645"
"Secondary Level (Class 9-10)",""
"Female","1530"
"Male","2019"
"","3549"
"SLC and Equivalent",""
"Female","853"
"Male","1189"
"","2042"
