"Population by disability type","Number"
"Blind/low vision",""
"Female","2"
"Male","5"
"","7"
"Deaf/hard of hearing",""
"Female","3"
"Male","5"
"","8"
"Deaf-Blind",""
"Female","2"
"Male","0"
"","2"
"Intellectual disable",""
"Female","2"
"Male","4"
"","6"
"Mental disable",""
"Female","2"
"Male","1"
"","3"
"Multiple disable",""
"Female","2"
"Male","3"
"","5"
"No disability",""
"Female","1403"
"Male","1566"
"","2969"
"Physical",""
"Female","12"
"Male","7"
"","19"
"Speech problem",""
"Female","7"
"Male","3"
"","10"
