"Population by disability type","Number"
"Blind/low vision",""
"Female","93"
"Male","91"
"","184"
"Deaf/hard of hearing",""
"Female","70"
"Male","82"
"","152"
"Deaf-Blind",""
"Female","17"
"Male","10"
"","27"
"Intellectual disable",""
"Female","5"
"Male","14"
"","19"
"Mental disable",""
"Female","13"
"Male","12"
"","25"
"Multiple disable",""
"Female","26"
"Male","38"
"","64"
"No disability",""
"Female","12375"
"Male","11173"
"","23548"
"Physical",""
"Female","306"
"Male","377"
"","683"
"Speech problem",""
"Female","20"
"Male","42"
"","62"
