"Population by Educational Attainment","Number"
"Beginners",""
"Female","440"
"Male","471"
"Graduate and Equivalent",""
"Female","11"
"Male","46"
"Intermediate and Equivalent",""
"Female","116"
"Male","210"
"Level not Stated",""
"Female","15"
"Male","25"
"Lower Secondary (Class 6-8)",""
"Female","1306"
"Male","1560"
"Non Formal Education",""
"Female","236"
"Male","153"
"Others",""
"Female","7"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","10"
"Primary Education (1-5 Class)",""
"Female","3312"
"Male","4095"
"Secondary Level (Class 9-10)",""
"Female","391"
"Male","604"
"SLC and Equivalent",""
"Female","220"
"Male","444"
