"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","25"
"","59"
"Deaf/hard of hearing",""
"Female","49"
"Male","40"
"","89"
"Deaf-Blind",""
"Female","6"
"Male","8"
"","14"
"Intellectual disable",""
"Female","8"
"Male","8"
"","16"
"Mental disable",""
"Female","22"
"Male","27"
"","49"
"Multiple disable",""
"Female","14"
"Male","9"
"","23"
"No disability",""
"Female","16433"
"Male","15233"
"","31666"
"Physical",""
"Female","80"
"Male","95"
"","175"
"Speech problem",""
"Female","32"
"Male","39"
"","71"
