"Population by Educational Attainment","Number"
"Beginners",""
"Female","496"
"Male","548"
"Graduate and Equivalent",""
"Female","83"
"Male","192"
"Intermediate and Equivalent",""
"Female","283"
"Male","536"
"Level not Stated",""
"Female","19"
"Male","22"
"Lower Secondary (Class 6-8)",""
"Female","1987"
"Male","2840"
"Non Formal Education",""
"Female","137"
"Male","79"
"Others",""
"Female","11"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","68"
"Primary Education (1-5 Class)",""
"Female","4217"
"Male","5403"
"Secondary Level (Class 9-10)",""
"Female","1042"
"Male","1706"
"SLC and Equivalent",""
"Female","451"
"Male","754"
