"Population by Single Year of Age","Number"
"0",""
"Female","337"
"Male","352"
"1",""
"Female","282"
"Male","287"
"10",""
"Female","474"
"Male","504"
"11",""
"Female","330"
"Male","319"
"12",""
"Female","531"
"Male","535"
"13",""
"Female","360"
"Male","390"
"14",""
"Female","387"
"Male","375"
"15",""
"Female","334"
"Male","325"
"16",""
"Female","360"
"Male","342"
"17",""
"Female","201"
"Male","165"
"18",""
"Female","444"
"Male","336"
"19",""
"Female","175"
"Male","141"
"2",""
"Female","407"
"Male","436"
"20",""
"Female","322"
"Male","215"
"21",""
"Female","175"
"Male","132"
"22",""
"Female","278"
"Male","170"
"23",""
"Female","185"
"Male","125"
"24",""
"Female","186"
"Male","140"
"25",""
"Female","291"
"Male","205"
"26",""
"Female","227"
"Male","124"
"27",""
"Female","140"
"Male","118"
"28",""
"Female","313"
"Male","196"
"29",""
"Female","88"
"Male","66"
"3",""
"Female","454"
"Male","464"
"30",""
"Female","412"
"Male","227"
"31",""
"Female","73"
"Male","74"
"32",""
"Female","196"
"Male","124"
"33",""
"Female","100"
"Male","85"
"34",""
"Female","116"
"Male","106"
"35",""
"Female","341"
"Male","230"
"36",""
"Female","139"
"Male","106"
"37",""
"Female","58"
"Male","60"
"38",""
"Female","143"
"Male","111"
"39",""
"Female","56"
"Male","50"
"4",""
"Female","517"
"Male","518"
"40",""
"Female","365"
"Male","174"
"41",""
"Female","41"
"Male","57"
"42",""
"Female","97"
"Male","77"
"43",""
"Female","49"
"Male","47"
"44",""
"Female","51"
"Male","55"
"45",""
"Female","233"
"Male","166"
"46",""
"Female","80"
"Male","81"
"47",""
"Female","45"
"Male","47"
"48",""
"Female","110"
"Male","97"
"49",""
"Female","35"
"Male","27"
"5",""
"Female","496"
"Male","474"
"50",""
"Female","221"
"Male","162"
"51",""
"Female","38"
"Male","42"
"52",""
"Female","81"
"Male","91"
"53",""
"Female","29"
"Male","41"
"54",""
"Female","29"
"Male","41"
"55",""
"Female","129"
"Male","132"
"56",""
"Female","59"
"Male","45"
"57",""
"Female","24"
"Male","35"
"58",""
"Female","54"
"Male","73"
"59",""
"Female","19"
"Male","29"
"6",""
"Female","514"
"Male","483"
"60",""
"Female","254"
"Male","161"
"61",""
"Female","49"
"Male","45"
"62",""
"Female","75"
"Male","61"
"63",""
"Female","44"
"Male","48"
"64",""
"Female","21"
"Male","38"
"65",""
"Female","145"
"Male","102"
"66",""
"Female","32"
"Male","34"
"67",""
"Female","14"
"Male","24"
"68",""
"Female","51"
"Male","51"
"69",""
"Female","15"
"Male","17"
"7",""
"Female","402"
"Male","422"
"70",""
"Female","145"
"Male","113"
"71",""
"Female","34"
"Male","34"
"72",""
"Female","47"
"Male","35"
"73",""
"Female","20"
"Male","22"
"74",""
"Female","11"
"Male","7"
"75",""
"Female","56"
"Male","45"
"76",""
"Female","8"
"Male","19"
"77",""
"Female","7"
"Male","9"
"78",""
"Female","9"
"Male","14"
"79",""
"Female","3"
"Male","5"
"8",""
"Female","495"
"Male","516"
"80",""
"Female","36"
"Male","11"
"81",""
"Female","2"
"Male","4"
"82",""
"Female","10"
"Male","9"
"83",""
"Female","4"
"Male","2"
"84",""
"Female","2"
"Male","6"
"85",""
"Female","21"
"Male","23"
"9",""
"Female","383"
"Male","363"
