"Population by Educational Attainment","Number"
"Beginners",""
"Female","233"
"Male","257"
"Graduate and Equivalent",""
"Female","30"
"Male","64"
"Intermediate and Equivalent",""
"Female","198"
"Male","239"
"Level not Stated",""
"Female","51"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","1523"
"Male","1477"
"Non Formal Education",""
"Female","577"
"Male","345"
"Others",""
"Female","5"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","3229"
"Male","3580"
"Secondary Level (Class 9-10)",""
"Female","701"
"Male","693"
"SLC and Equivalent",""
"Female","458"
"Male","562"
