"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","247"
"Male","274"
"","521"
"Bangali",""
"Female","44"
"Male","38"
"","82"
"Baraee",""
"Female","639"
"Male","647"
"","1286"
"Brahman - Hill",""
"Female","850"
"Male","894"
"","1744"
"Brahman - Tarai",""
"Female","260"
"Male","260"
"","520"
"Chamar/ Harijan/ Ram",""
"Female","1757"
"Male","1755"
"","3512"
"Chhetri",""
"Female","121"
"Male","111"
"","232"
"Dalit Others",""
"Female","36"
"Male","38"
"","74"
"Damai/Dholi",""
"Female","22"
"Male","21"
"","43"
"Dhandi",""
"Female","7"
"Male","6"
"","13"
"Dhobi",""
"Female","626"
"Male","563"
"","1189"
"Dhunia",""
"Female","24"
"Male","20"
"","44"
"Dusadh/ Pasawan/ Pasi",""
"Female","1119"
"Male","1161"
"","2280"
"Foreigner",""
"Female","17"
"Male","19"
"","36"
"Gaderi/Bhedihar",""
"Female","211"
"Male","246"
"","457"
"Gurung",""
"Female","13"
"Male","12"
"","25"
"Hajam/Thakur",""
"Female","224"
"Male","236"
"","460"
"Halwai",""
"Female","78"
"Male","80"
"","158"
"Kahar",""
"Female","1150"
"Male","1191"
"","2341"
"Kalwar",""
"Female","426"
"Male","438"
"","864"
"Kami",""
"Female","41"
"Male","38"
"","79"
"Kathabaniyan",""
"Female","527"
"Male","586"
"","1113"
"Kayastha",""
"Female","35"
"Male","37"
"","72"
"Kewat",""
"Female","316"
"Male","348"
"","664"
"Koiri/Kushwaha",""
"Female","32"
"Male","26"
"","58"
"Kori",""
"Female","154"
"Male","144"
"","298"
"Kumhar",""
"Female","4"
"Male","14"
"","18"
"Kurmi",""
"Female","1673"
"Male","1688"
"","3361"
"Lodh",""
"Female","217"
"Male","229"
"","446"
"Lohar",""
"Female","250"
"Male","237"
"","487"
"Magar",""
"Female","127"
"Male","132"
"","259"
"Mali",""
"Female","6"
"Male","5"
"","11"
"Mallaha",""
"Female","57"
"Male","76"
"","133"
"Marwadi",""
"Female","18"
"Male","24"
"","42"
"Musalman",""
"Female","8057"
"Male","7969"
"","16026"
"Natuwa",""
"Female","54"
"Male","54"
"","108"
"Newar",""
"Female","16"
"Male","13"
"","29"
"Others",""
"Female","44"
"Male","22"
"","66"
"Pattharkatta/ Kushwadiya",""
"Female","22"
"Male","27"
"","49"
"Sanyasi/Dasnami",""
"Female","35"
"Male","33"
"","68"
"Sherpa",""
"Female","27"
"Male","30"
"","57"
"Sonar",""
"Female","47"
"Male","44"
"","91"
"Tamang",""
"Female","8"
"Male","5"
"","13"
"Teli",""
"Female","327"
"Male","361"
"","688"
"Terai Others",""
"Female","588"
"Male","570"
"","1158"
"Thakuri",""
"Female","35"
"Male","32"
"","67"
"Tharu",""
"Female","362"
"Male","344"
"","706"
"Undefined Others",""
"Female","15"
"Male","22"
"","37"
"Yadav",""
"Female","3055"
"Male","3078"
"","6133"
