"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","81"
"","156"
"Deaf/hard of hearing",""
"Female","9"
"Male","16"
"","25"
"Deaf-Blind",""
"Female","5"
"Male","0"
"","5"
"Intellectual disable",""
"Female","2"
"Male","16"
"","18"
"Mental disable",""
"Female","17"
"Male","25"
"","42"
"Multiple disable",""
"Female","20"
"Male","16"
"","36"
"No disability",""
"Female","23798"
"Male","23915"
"","47713"
"Physical",""
"Female","76"
"Male","103"
"","179"
"Speech problem",""
"Female","18"
"Male","26"
"","44"
