"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","47"
"","84"
"Deaf/hard of hearing",""
"Female","23"
"Male","32"
"","55"
"Deaf-Blind",""
"Female","4"
"Male","7"
"","11"
"Intellectual disable",""
"Female","7"
"Male","5"
"","12"
"Mental disable",""
"Female","11"
"Male","26"
"","37"
"Multiple disable",""
"Female","31"
"Male","25"
"","56"
"No disability",""
"Female","16712"
"Male","17924"
"","34636"
"Physical",""
"Female","74"
"Male","146"
"","220"
"Speech problem",""
"Female","23"
"Male","41"
"","64"
