"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","110"
"Male","127"
"","237"
"Bangali",""
"Female","74"
"Male","79"
"","153"
"Baraee",""
"Female","425"
"Male","502"
"","927"
"Brahman - Hill",""
"Female","912"
"Male","925"
"","1837"
"Brahman - Tarai",""
"Female","228"
"Male","253"
"","481"
"Chamar/ Harijan/ Ram",""
"Female","2246"
"Male","2323"
"","4569"
"Chhetri",""
"Female","307"
"Male","292"
"","599"
"Dalit Others",""
"Female","16"
"Male","18"
"","34"
"Damai/Dholi",""
"Female","78"
"Male","75"
"","153"
"Dhandi",""
"Female","108"
"Male","101"
"","209"
"Dhankar/ Dharikar",""
"Female","25"
"Male","24"
"","49"
"Dhanuk",""
"Female","5"
"Male","6"
"","11"
"Dhobi",""
"Female","868"
"Male","865"
"","1733"
"Dhunia",""
"Female","78"
"Male","86"
"","164"
"Dusadh/ Pasawan/ Pasi",""
"Female","845"
"Male","844"
"","1689"
"Foreigner",""
"Female","140"
"Male","155"
"","295"
"Gaderi/Bhedihar",""
"Female","57"
"Male","62"
"","119"
"Gharti/Bhujel",""
"Female","20"
"Male","10"
"","30"
"Gurung",""
"Female","26"
"Male","32"
"","58"
"Hajam/Thakur",""
"Female","421"
"Male","409"
"","830"
"Halwai",""
"Female","368"
"Male","377"
"","745"
"Jhangad/ Dhagar",""
"Female","36"
"Male","35"
"","71"
"Kahar",""
"Female","1834"
"Male","1939"
"","3773"
"Kalwar",""
"Female","434"
"Male","443"
"","877"
"Kami",""
"Female","128"
"Male","126"
"","254"
"Kathabaniyan",""
"Female","635"
"Male","650"
"","1285"
"Kayastha",""
"Female","294"
"Male","323"
"","617"
"Kewat",""
"Female","309"
"Male","294"
"","603"
"Koiri/Kushwaha",""
"Female","216"
"Male","237"
"","453"
"Kori",""
"Female","8"
"Male","6"
"","14"
"Kurmi",""
"Female","1080"
"Male","1213"
"","2293"
"Lodh",""
"Female","2898"
"Male","2834"
"","5732"
"Lohar",""
"Female","447"
"Male","453"
"","900"
"Magar",""
"Female","729"
"Male","767"
"","1496"
"Majhi",""
"Female","6"
"Male","6"
"","12"
"Mali",""
"Female","45"
"Male","38"
"","83"
"Mallaha",""
"Female","646"
"Male","634"
"","1280"
"Marwadi",""
"Female","47"
"Male","57"
"","104"
"Musalman",""
"Female","12143"
"Male","11425"
"","23568"
"Natuwa",""
"Female","48"
"Male","47"
"","95"
"Newar",""
"Female","40"
"Male","61"
"","101"
"Others",""
"Female","61"
"Male","31"
"","92"
"Pattharkatta/ Kushwadiya",""
"Female","11"
"Male","15"
"","26"
"Rai",""
"Female","45"
"Male","47"
"","92"
"Rajdhob",""
"Female","11"
"Male","17"
"","28"
"Rajput",""
"Female","17"
"Male","10"
"","27"
"Sanyasi/Dasnami",""
"Female","141"
"Male","160"
"","301"
"Sarki",""
"Female","9"
"Male","6"
"","15"
"Sherpa",""
"Female","16"
"Male","8"
"","24"
"Sonar",""
"Female","91"
"Male","116"
"","207"
"Tamang",""
"Female","6"
"Male","6"
"","12"
"Teli",""
"Female","826"
"Male","798"
"","1624"
"Terai Others",""
"Female","269"
"Male","290"
"","559"
"Tharu",""
"Female","590"
"Male","551"
"","1141"
"Yadav",""
"Female","4887"
"Male","4929"
"","9816"
