"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","36"
"","84"
"Deaf/hard of hearing",""
"Female","18"
"Male","19"
"","37"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","2"
"Male","11"
"","13"
"Mental disable",""
"Female","22"
"Male","32"
"","54"
"Multiple disable",""
"Female","22"
"Male","24"
"","46"
"No disability",""
"Female","36144"
"Male","35855"
"","71999"
"Physical",""
"Female","84"
"Male","127"
"","211"
"Speech problem",""
"Female","19"
"Male","29"
"","48"
