"Population by Educational Attainment","Number"
"Beginners",""
"Female","7"
"Male","4"
"","11"
"Graduate and Equivalent",""
"Female","3"
"Male","15"
"","18"
"Intermediate and Equivalent",""
"Female","21"
"Male","56"
"","77"
"Level not Stated",""
"Female","3"
"Male","2"
"","5"
"Lower Secondary (Class 6-8)",""
"Female","87"
"Male","106"
"","193"
"Non Formal Education",""
"Female","8"
"Male","15"
"","23"
"Others",""
"Female","3"
"Male","24"
"","27"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"","2"
"Primary Education (1-5 Class)",""
"Female","331"
"Male","349"
"","680"
"Secondary Level (Class 9-10)",""
"Female","24"
"Male","53"
"","77"
"SLC and Equivalent",""
"Female","46"
"Male","74"
"","120"
