"Population by disability type","Number"
"Blind/low vision",""
"Female","4"
"Male","4"
"","8"
"Deaf/hard of hearing",""
"Female","13"
"Male","6"
"","19"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","3"
"Male","6"
"","9"
"Multiple disable",""
"Female","4"
"Male","3"
"","7"
"No disability",""
"Female","1173"
"Male","1090"
"","2263"
"Physical",""
"Female","5"
"Male","5"
"","10"
"Speech problem",""
"Female","4"
"Male","5"
"","9"
