"Population by Educational Attainment","Number"
"Beginners",""
"Female","587"
"Male","691"
"","1278"
"Graduate and Equivalent",""
"Female","17"
"Male","45"
"","62"
"Intermediate and Equivalent",""
"Female","151"
"Male","171"
"","322"
"Level not Stated",""
"Female","50"
"Male","75"
"","125"
"Lower Secondary (Class 6-8)",""
"Female","1109"
"Male","1417"
"","2526"
"Non Formal Education",""
"Female","507"
"Male","437"
"","944"
"Others",""
"Female","2"
"Male","3"
"","5"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","17"
"","18"
"Primary Education (1-5 Class)",""
"Female","3151"
"Male","3819"
"","6970"
"Secondary Level (Class 9-10)",""
"Female","296"
"Male","511"
"","807"
"SLC and Equivalent",""
"Female","305"
"Male","530"
"","835"
