"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","57"
"","117"
"Deaf/hard of hearing",""
"Female","54"
"Male","38"
"","92"
"Deaf-Blind",""
"Female","7"
"Male","7"
"","14"
"Intellectual disable",""
"Female","23"
"Male","32"
"","55"
"Mental disable",""
"Female","25"
"Male","32"
"","57"
"Multiple disable",""
"Female","30"
"Male","27"
"","57"
"No disability",""
"Female","22450"
"Male","17858"
"","40308"
"Physical",""
"Female","117"
"Male","156"
"","273"
"Speech problem",""
"Female","51"
"Male","55"
"","106"
