"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","56"
"","102"
"Deaf/hard of hearing",""
"Female","41"
"Male","49"
"","90"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","14"
"Male","8"
"","22"
"Mental disable",""
"Female","43"
"Male","32"
"","75"
"Multiple disable",""
"Female","25"
"Male","34"
"","59"
"No disability",""
"Female","18490"
"Male","13837"
"","32327"
"Physical",""
"Female","125"
"Male","196"
"","321"
"Speech problem",""
"Female","38"
"Male","57"
"","95"
