"Population by Educational Attainment","Number"
"Beginners",""
"Female","147"
"Male","141"
"","288"
"Graduate and Equivalent",""
"Female","20"
"Male","34"
"","54"
"Intermediate and Equivalent",""
"Female","114"
"Male","127"
"","241"
"Level not Stated",""
"Female","12"
"Male","12"
"","24"
"Lower Secondary (Class 6-8)",""
"Female","914"
"Male","1002"
"","1916"
"Non Formal Education",""
"Female","315"
"Male","425"
"","740"
"Others",""
"Female","13"
"Male","16"
"","29"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","7"
"","8"
"Primary Education (1-5 Class)",""
"Female","1613"
"Male","1710"
"","3323"
"Secondary Level (Class 9-10)",""
"Female","380"
"Male","417"
"","797"
"SLC and Equivalent",""
"Female","221"
"Male","259"
"","480"
