"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","27"
"","45"
"Deaf/hard of hearing",""
"Female","8"
"Male","17"
"","25"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","6"
"Male","7"
"","13"
"Mental disable",""
"Female","7"
"Male","7"
"","14"
"Multiple disable",""
"Female","11"
"Male","8"
"","19"
"No disability",""
"Female","7818"
"Male","6803"
"","14621"
"Physical",""
"Female","40"
"Male","59"
"","99"
"Speech problem",""
"Female","9"
"Male","13"
"","22"
