"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","30"
"","61"
"Deaf/hard of hearing",""
"Female","50"
"Male","55"
"","105"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","8"
"Male","7"
"","15"
"Mental disable",""
"Female","19"
"Male","13"
"","32"
"Multiple disable",""
"Female","20"
"Male","22"
"","42"
"No disability",""
"Female","5600"
"Male","5560"
"","11160"
"Physical",""
"Female","49"
"Male","46"
"","95"
"Speech problem",""
"Female","42"
"Male","36"
"","78"
