"Population by Educational Attainment","Number"
"Beginners",""
"Female","500"
"Male","507"
"Graduate and Equivalent",""
"Female","13"
"Male","217"
"Intermediate and Equivalent",""
"Female","278"
"Male","545"
"Level not Stated",""
"Female","24"
"Male","13"
"Lower Secondary (Class 6-8)",""
"Female","1908"
"Male","2494"
"Non Formal Education",""
"Female","583"
"Male","282"
"Others",""
"Female","10"
"Male","10"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","67"
"Primary Education (1-5 Class)",""
"Female","4073"
"Male","4291"
"Secondary Level (Class 9-10)",""
"Female","883"
"Male","1407"
"SLC and Equivalent",""
"Female","568"
"Male","964"
