"Population by Educational Attainment","Number"
"Beginners",""
"Female","794"
"Male","910"
"Graduate and Equivalent",""
"Female","82"
"Male","224"
"Intermediate and Equivalent",""
"Female","480"
"Male","737"
"Level not Stated",""
"Female","49"
"Male","45"
"Lower Secondary (Class 6-8)",""
"Female","2987"
"Male","4381"
"Non Formal Education",""
"Female","375"
"Male","404"
"Others",""
"Female","65"
"Male","47"
"Post Graduate Equivalent and Above",""
"Female","19"
"Male","75"
"Primary Education (1-5 Class)",""
"Female","7746"
"Male","9405"
"Secondary Level (Class 9-10)",""
"Female","1382"
"Male","1925"
"SLC and Equivalent",""
"Female","1523"
"Male","1816"
