"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","46"
"","96"
"Deaf/hard of hearing",""
"Female","26"
"Male","20"
"","46"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","8"
"Male","9"
"","17"
"Mental disable",""
"Female","12"
"Male","29"
"","41"
"Multiple disable",""
"Female","2"
"Male","3"
"","5"
"No disability",""
"Female","11608"
"Male","11856"
"","23464"
"Physical",""
"Female","84"
"Male","101"
"","185"
"Speech problem",""
"Female","29"
"Male","15"
"","44"
