"Population by disability type","Number"
"Blind/low vision",""
"Female","15"
"Male","20"
"","35"
"Deaf/hard of hearing",""
"Female","18"
"Male","26"
"","44"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","4"
"Male","4"
"","8"
"Mental disable",""
"Female","5"
"Male","8"
"","13"
"Multiple disable",""
"Female","13"
"Male","10"
"","23"
"No disability",""
"Female","6754"
"Male","6132"
"","12886"
"Physical",""
"Female","28"
"Male","50"
"","78"
"Speech problem",""
"Female","9"
"Male","14"
"","23"
