"Population by Mother tongue","Number"
"Bantawa",""
"Female","18"
"Male","18"
"","36"
"Chamling",""
"Female","15"
"Male","12"
"","27"
"Dumi",""
"Female","8"
"Male","10"
"","18"
"Ghale",""
"Female","99"
"Male","98"
"","197"
"Gurung",""
"Female","15"
"Male","7"
"","22"
"Khaling",""
"Female","10"
"Male","7"
"","17"
"Kulung",""
"Female","1851"
"Male","1769"
"","3620"
"Lhomi",""
"Female","9"
"Male","4"
"","13"
"Limbu",""
"Female","24"
"Male","15"
"","39"
"Magar",""
"Female","52"
"Male","45"
"","97"
"Maithili",""
"Female","8"
"Male","12"
"","20"
"Mewahang",""
"Female","307"
"Male","263"
"","570"
"Nachhiring",""
"Female","643"
"Male","601"
"","1244"
"Nepali",""
"Female","2607"
"Male","2288"
"","4895"
"Newar",""
"Female","57"
"Male","58"
"","115"
"Not Reported",""
"Female","6"
"Male","10"
"","16"
"Others",""
"Female","19"
"Male","21"
"","40"
"Rai",""
"Female","39"
"Male","40"
"","79"
"Sam",""
"Female","7"
"Male","5"
"","12"
"Sampang",""
"Female","67"
"Male","63"
"","130"
"Sherpa",""
"Female","285"
"Male","239"
"","524"
"Sunuwar",""
"Female","6"
"Male","8"
"","14"
"Tamang",""
"Female","461"
"Male","471"
"","932"
"Thulung",""
"Female","82"
"Male","85"
"","167"
"Yakkha",""
"Female","138"
"Male","103"
"","241"
"Yamphu/Yamphe",""
"Female","13"
"Male","13"
"","26"
