"Population by Educational Attainment","Number"
"Beginners",""
"Female","144"
"Male","184"
"","328"
"Graduate and Equivalent",""
"Female","6"
"Male","46"
"","52"
"Intermediate and Equivalent",""
"Female","81"
"Male","85"
"","166"
"Level not Stated",""
"Female","4"
"Male","6"
"","10"
"Lower Secondary (Class 6-8)",""
"Female","811"
"Male","830"
"","1641"
"Non Formal Education",""
"Female","179"
"Male","239"
"","418"
"Others",""
"Female","4"
"Male","2"
"","6"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","17"
"","21"
"Primary Education (1-5 Class)",""
"Female","1897"
"Male","2078"
"","3975"
"Secondary Level (Class 9-10)",""
"Female","345"
"Male","386"
"","731"
"SLC and Equivalent",""
"Female","264"
"Male","339"
"","603"
