"Population by disability type","Number"
"Blind/low vision",""
"Female","35"
"Male","25"
"","60"
"Deaf/hard of hearing",""
"Female","19"
"Male","18"
"","37"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","2"
"Male","13"
"","15"
"Multiple disable",""
"Female","3"
"Male","3"
"","6"
"No disability",""
"Female","12562"
"Male","13217"
"","25779"
"Physical",""
"Female","67"
"Male","92"
"","159"
"Speech problem",""
"Female","5"
"Male","14"
"","19"
