"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","32"
"","62"
"Deaf/hard of hearing",""
"Female","9"
"Male","13"
"","22"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","0"
"Male","2"
"","2"
"Mental disable",""
"Female","8"
"Male","14"
"","22"
"Multiple disable",""
"Female","2"
"Male","5"
"","7"
"No disability",""
"Female","12888"
"Male","13320"
"","26208"
"Physical",""
"Female","51"
"Male","63"
"","114"
"Speech problem",""
"Female","21"
"Male","23"
"","44"
