"Population by disability type","Number"
"Blind/low vision",""
"Female","125"
"Male","104"
"","229"
"Deaf/hard of hearing",""
"Female","58"
"Male","105"
"","163"
"Deaf-Blind",""
"Female","31"
"Male","33"
"","64"
"Intellectual disable",""
"Female","16"
"Male","32"
"","48"
"Mental disable",""
"Female","23"
"Male","33"
"","56"
"Multiple disable",""
"Female","15"
"Male","17"
"","32"
"No disability",""
"Female","17673"
"Male","16125"
"","33798"
"Physical",""
"Female","213"
"Male","271"
"","484"
"Speech problem",""
"Female","35"
"Male","74"
"","109"
