"Population by disability type","Number"
"Blind/low vision",""
"Female","725"
"Male","716"
"","1441"
"Deaf/hard of hearing",""
"Female","565"
"Male","624"
"","1189"
"Deaf-Blind",""
"Female","53"
"Male","60"
"","113"
"Intellectual disable",""
"Female","59"
"Male","81"
"","140"
"Mental disable",""
"Female","113"
"Male","135"
"","248"
"Multiple disable",""
"Female","196"
"Male","237"
"","433"
"No disability",""
"Female","131326"
"Male","121923"
"","253249"
"Physical",""
"Female","1430"
"Male","1917"
"","3347"
"Speech problem",""
"Female","287"
"Male","408"
"","695"
