"Population by Educational Attainment","Number"
"Beginners",""
"Female","2977"
"Male","3113"
"","6090"
"Graduate and Equivalent",""
"Female","250"
"Male","909"
"","1159"
"Intermediate and Equivalent",""
"Female","1994"
"Male","3605"
"","5599"
"Level not Stated",""
"Female","283"
"Male","298"
"","581"
"Lower Secondary (Class 6-8)",""
"Female","13365"
"Male","17783"
"","31148"
"Non Formal Education",""
"Female","3137"
"Male","2383"
"","5520"
"Others",""
"Female","42"
"Male","62"
"","104"
"Post Graduate Equivalent and Above",""
"Female","53"
"Male","275"
"","328"
"Primary Education (1-5 Class)",""
"Female","32836"
"Male","37400"
"","70236"
"Secondary Level (Class 9-10)",""
"Female","6067"
"Male","9275"
"","15342"
"SLC and Equivalent",""
"Female","3589"
"Male","5910"
"","9499"
