"Population by Educational Attainment","Number"
"Beginners",""
"Female","78"
"Male","82"
"Graduate and Equivalent",""
"Female","44"
"Male","73"
"Intermediate and Equivalent",""
"Female","243"
"Male","234"
"Level not Stated",""
"Female","36"
"Male","46"
"Lower Secondary (Class 6-8)",""
"Female","1382"
"Male","1329"
"Non Formal Education",""
"Female","459"
"Male","578"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","22"
"Primary Education (1-5 Class)",""
"Female","1942"
"Male","2459"
"Secondary Level (Class 9-10)",""
"Female","744"
"Male","737"
"SLC and Equivalent",""
"Female","407"
"Male","395"
