"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","28"
"","64"
"Deaf/hard of hearing",""
"Female","89"
"Male","85"
"","174"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","6"
"Male","10"
"","16"
"Mental disable",""
"Female","8"
"Male","7"
"","15"
"Multiple disable",""
"Female","21"
"Male","26"
"","47"
"No disability",""
"Female","8494"
"Male","6716"
"","15210"
"Physical",""
"Female","47"
"Male","68"
"","115"
"Speech problem",""
"Female","40"
"Male","44"
"","84"
