"Population by Educational Attainment","Number"
"Beginners",""
"Female","190"
"Male","149"
"","339"
"Graduate and Equivalent",""
"Female","16"
"Male","34"
"","50"
"Intermediate and Equivalent",""
"Female","83"
"Male","94"
"","177"
"Level not Stated",""
"Female","83"
"Male","71"
"","154"
"Lower Secondary (Class 6-8)",""
"Female","1128"
"Male","995"
"","2123"
"Non Formal Education",""
"Female","479"
"Male","235"
"","714"
"Others",""
"Female","2"
"Male","1"
"","3"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","16"
"","19"
"Primary Education (1-5 Class)",""
"Female","2562"
"Male","2802"
"","5364"
"Secondary Level (Class 9-10)",""
"Female","404"
"Male","336"
"","740"
"SLC and Equivalent",""
"Female","196"
"Male","249"
"","445"
