"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","17"
"","35"
"Deaf/hard of hearing",""
"Female","34"
"Male","29"
"","63"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","3"
"Male","2"
"","5"
"Mental disable",""
"Female","9"
"Male","11"
"","20"
"Multiple disable",""
"Female","17"
"Male","10"
"","27"
"No disability",""
"Female","7863"
"Male","6928"
"","14791"
"Physical",""
"Female","70"
"Male","76"
"","146"
"Speech problem",""
"Female","16"
"Male","26"
"","42"
