"Population by disability type","Number"
"Blind/low vision",""
"Female","100"
"Male","88"
"","188"
"Deaf/hard of hearing",""
"Female","36"
"Male","47"
"","83"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","2"
"Male","3"
"","5"
"Mental disable",""
"Female","9"
"Male","7"
"","16"
"Multiple disable",""
"Female","19"
"Male","19"
"","38"
"No disability",""
"Female","11184"
"Male","10731"
"","21915"
"Physical",""
"Female","97"
"Male","150"
"","247"
"Speech problem",""
"Female","31"
"Male","38"
"","69"
