"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","46"
"","101"
"Deaf/hard of hearing",""
"Female","52"
"Male","78"
"","130"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","8"
"Male","16"
"","24"
"Mental disable",""
"Female","10"
"Male","15"
"","25"
"Multiple disable",""
"Female","24"
"Male","42"
"","66"
"No disability",""
"Female","10857"
"Male","10526"
"","21383"
"Physical",""
"Female","105"
"Male","149"
"","254"
"Speech problem",""
"Female","25"
"Male","39"
"","64"
