"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","46"
"","90"
"Deaf/hard of hearing",""
"Female","62"
"Male","99"
"","161"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","24"
"Male","22"
"","46"
"Mental disable",""
"Female","16"
"Male","19"
"","35"
"Multiple disable",""
"Female","40"
"Male","51"
"","91"
"No disability",""
"Female","15868"
"Male","14026"
"","29894"
"Physical",""
"Female","113"
"Male","157"
"","270"
"Speech problem",""
"Female","61"
"Male","77"
"","138"
