"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","36"
"","61"
"Deaf/hard of hearing",""
"Female","23"
"Male","25"
"","48"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","6"
"Male","11"
"","17"
"Mental disable",""
"Female","14"
"Male","16"
"","30"
"Multiple disable",""
"Female","15"
"Male","17"
"","32"
"No disability",""
"Female","10416"
"Male","9618"
"","20034"
"Physical",""
"Female","46"
"Male","84"
"","130"
"Speech problem",""
"Female","17"
"Male","24"
"","41"
