"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","46"
"","87"
"Deaf/hard of hearing",""
"Female","25"
"Male","30"
"","55"
"Deaf-Blind",""
"Female","0"
"Male","3"
"","3"
"Intellectual disable",""
"Female","9"
"Male","7"
"","16"
"Mental disable",""
"Female","12"
"Male","15"
"","27"
"Multiple disable",""
"Female","25"
"Male","23"
"","48"
"No disability",""
"Female","16812"
"Male","15390"
"","32202"
"Physical",""
"Female","70"
"Male","122"
"","192"
"Speech problem",""
"Female","38"
"Male","49"
"","87"
