"Population by Educational Attainment","Number"
"Beginners",""
"Female","360"
"Male","407"
"","767"
"Graduate and Equivalent",""
"Female","20"
"Male","61"
"","81"
"Intermediate and Equivalent",""
"Female","84"
"Male","168"
"","252"
"Level not Stated",""
"Female","4"
"Male","11"
"","15"
"Lower Secondary (Class 6-8)",""
"Female","675"
"Male","1221"
"","1896"
"Non Formal Education",""
"Female","110"
"Male","69"
"","179"
"Others",""
"Female","4"
"Male","9"
"","13"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","11"
"","15"
"Primary Education (1-5 Class)",""
"Female","2532"
"Male","3724"
"","6256"
"Secondary Level (Class 9-10)",""
"Female","256"
"Male","512"
"","768"
"SLC and Equivalent",""
"Female","147"
"Male","347"
"","494"
