"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","21"
"","49"
"Deaf/hard of hearing",""
"Female","18"
"Male","17"
"","35"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","0"
"Male","7"
"","7"
"Mental disable",""
"Female","3"
"Male","7"
"","10"
"Multiple disable",""
"Female","5"
"Male","9"
"","14"
"No disability",""
"Female","11302"
"Male","11233"
"","22535"
"Physical",""
"Female","29"
"Male","47"
"","76"
"Speech problem",""
"Female","11"
"Male","22"
"","33"
